"IDPRODUCTO","NOMBREPRODUCTO","PRECIOPRODUCTO","DESCRIPCIONPRODUCTO","ESTADO","CANTIDADDISPONIBLE","IMAGENPRODUCTO","IDCATEGORIA"
4,"PIZZA",15000,"PIZZA","DISPONIBLE",4,"PIZZA",2397
1,"REFRESCO",28500,"REFRESCO","AGOTADO",1,"REFRESCO",2398
6,"POSTRE",2000,"POSTRE","DISPONIBLE",6,"POSTRE",2399
2,"ALITAS",3500,"ALITAS","AGOTADO",2,"ALITAS",2400
7,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2401
4,"PIZZA",15000,"PIZZA","AGOTADO",4,"PIZZA",2402
1,"REFRESCO",28500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2403
6,"POSTRE",2000,"POSTRE","AGOTADO",6,"POSTRE",2404
2,"ALITAS",3500,"ALITAS","DISPONIBLE",2,"ALITAS",2405
7,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2406
4,"PIZZA",15000,"PIZZA","DISPONIBLE",4,"PIZZA",2407
1,"REFRESCO",28500,"REFRESCO","AGOTADO",1,"REFRESCO",2408
6,"POSTRE",2000,"POSTRE","DISPONIBLE",6,"POSTRE",2409
2,"ALITAS",3500,"ALITAS","AGOTADO",2,"ALITAS",2410
7,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2411
4,"PIZZA",15000,"PIZZA","AGOTADO",4,"PIZZA",2412
1,"REFRESCO",28500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2413
6,"POSTRE",2000,"POSTRE","AGOTADO",6,"POSTRE",2414
2,"ALITAS",3500,"ALITAS","DISPONIBLE",2,"ALITAS",2415
7,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2416
4,"PIZZA",15000,"PIZZA","DISPONIBLE",4,"PIZZA",2417
1,"REFRESCO",28500,"REFRESCO","AGOTADO",1,"REFRESCO",2418
6,"POSTRE",2000,"POSTRE","DISPONIBLE",6,"POSTRE",2419
2,"ALITAS",3500,"ALITAS","AGOTADO",2,"ALITAS",2420
7,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2421
4,"PIZZA",15000,"PIZZA","AGOTADO",4,"PIZZA",2422
1,"REFRESCO",28500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2423
6,"POSTRE",2000,"POSTRE","AGOTADO",6,"POSTRE",2424
2,"ALITAS",3500,"ALITAS","DISPONIBLE",2,"ALITAS",2425
7,"HAMBURGUESA",5000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2426
4,"PIZZA",15000,"PIZZA","DISPONIBLE",4,"PIZZA",2427
1,"REFRESCO",28500,"REFRESCO","AGOTADO",1,"REFRESCO",2428
6,"POSTRE",2000,"POSTRE","DISPONIBLE",6,"POSTRE",2429
2,"ALITAS",3500,"ALITAS","AGOTADO",2,"ALITAS",2430
7,"HAMBURGUESA",5000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2431
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2432
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2433
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2434
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2435
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2436
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2437
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2438
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2439
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2440
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2441
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2442
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2443
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2444
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2445
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2446
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2447
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2448
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2449
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2450
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2451
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2452
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2453
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2454
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2455
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2456
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2457
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2458
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2459
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2460
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2461
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2462
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2463
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2464
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2465
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2466
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2467
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2468
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2469
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2470
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2471
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2472
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2473
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2474
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2475
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2476
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2477
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2478
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2479
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2480
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2481
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2482
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2483
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2484
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2485
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2486
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2487
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2488
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2489
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2490
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2491
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2492
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2493
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2494
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2495
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2496
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2497
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2498
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2499
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2500
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2501
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2502
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2503
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2504
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2505
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2506
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2507
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2508
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2509
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2510
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2511
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2512
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2513
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2514
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2515
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2516
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2517
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2518
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2519
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2520
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2521
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2522
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2523
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2524
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2525
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2526
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2527
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2528
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2529
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2530
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2531
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2532
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2533
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2534
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2535
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2536
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2537
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2538
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2539
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2540
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2541
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2542
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2543
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2544
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2545
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2546
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2547
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2548
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2549
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2550
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2551
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2552
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2553
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2554
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2555
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2556
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2557
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2558
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2559
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2560
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2561
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2562
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2563
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2564
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2565
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2566
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2567
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2568
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2569
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2570
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2571
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2572
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2573
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2574
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2575
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2576
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2577
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2578
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2579
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2580
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2581
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2582
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2583
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2584
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2585
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2586
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2587
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2588
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2589
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2590
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2591
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2592
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2593
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2594
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2595
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2596
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2597
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2598
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2599
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2600
7,"HAMBURGUESA",28500,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2601
4,"PIZZA",2000,"PIZZA","AGOTADO",4,"PIZZA",2602
1,"REFRESCO",3500,"REFRESCO","DISPONIBLE",1,"REFRESCO",2603
6,"POSTRE",5000,"POSTRE","AGOTADO",6,"POSTRE",2604
2,"ALITAS",15000,"ALITAS","DISPONIBLE",2,"ALITAS",2605
7,"HAMBURGUESA",28500,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2606
4,"PIZZA",2000,"PIZZA","DISPONIBLE",4,"PIZZA",2607
1,"REFRESCO",3500,"REFRESCO","AGOTADO",1,"REFRESCO",2608
6,"POSTRE",5000,"POSTRE","DISPONIBLE",6,"POSTRE",2609
2,"ALITAS",15000,"ALITAS","AGOTADO",2,"ALITAS",2610
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2611
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2612
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2613
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2614
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2615
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2616
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2617
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2618
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2619
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2620
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2621
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2622
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2623
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2624
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2625
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2626
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2627
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2628
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2629
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2630
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2631
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2632
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2633
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2634
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2635
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2636
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2637
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2638
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2639
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2640
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2641
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2642
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2643
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2644
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2645
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2646
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2647
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2648
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2649
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2650
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2651
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2652
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2653
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2654
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2655
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2656
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2657
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2658
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2659
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2660
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2661
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2662
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2663
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2664
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2665
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2666
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2667
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2668
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2669
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2670
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2671
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2672
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2673
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2674
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2675
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2676
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2677
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2678
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2679
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2680
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2681
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2682
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2683
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2684
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2685
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2686
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2687
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2688
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2689
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2690
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2691
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2692
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2693
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2694
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2695
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2696
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2697
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2698
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2699
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2700
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2701
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2702
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2703
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2704
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2705
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2706
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2707
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2708
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2709
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2710
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2711
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2712
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2713
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2714
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2715
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2716
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2717
1,"REFRESCO",5000,"REFRESCO","AGOTADO",1,"REFRESCO",2718
6,"POSTRE",15000,"POSTRE","DISPONIBLE",6,"POSTRE",2719
2,"ALITAS",28500,"ALITAS","AGOTADO",2,"ALITAS",2720
7,"HAMBURGUESA",2000,"HAMBURGUESA","DISPONIBLE",7,"HAMBURGUESA",2721
4,"PIZZA",3500,"PIZZA","AGOTADO",4,"PIZZA",2722
1,"REFRESCO",5000,"REFRESCO","DISPONIBLE",1,"REFRESCO",2723
6,"POSTRE",15000,"POSTRE","AGOTADO",6,"POSTRE",2724
2,"ALITAS",28500,"ALITAS","DISPONIBLE",2,"ALITAS",2725
7,"HAMBURGUESA",2000,"HAMBURGUESA","AGOTADO",7,"HAMBURGUESA",2726
4,"PIZZA",3500,"PIZZA","DISPONIBLE",4,"PIZZA",2727
